TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
69,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.58,71,700,9,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.0,0.0,0.0,1.0,0.0
70,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.4,75,600,8,0.04,2.0,Logloss,SymmetricTree,Bayesian,50,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
71,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,107,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
72,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,79,600,6,0.05,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
73,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,111,600,7,0.08,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
74,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,91,500,6,0.02,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
75,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.6,47,600,10,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.7668711656441718,0.6983240223463687,0.8503401360544217,0.16923076923076924,0.8503401360544217
76,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.9,0.46,107,900,7,0.09,1.0,Logloss,SymmetricTree,Bernoulli,10,0.7757575757575758,0.6994535519125683,0.8707482993197279,0.15384615384615385,0.8707482993197279
77,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.51,27,800,8,0.04,2.0,CrossEntropy,Depthwise,Bernoulli,50,0.7854984894259819,0.7065217391304348,0.8843537414965986,0.16923076923076924,0.8843537414965986
78,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.47,115,700,7,0.03,3.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
79,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.55,67,600,10,0.01,1.0,Logloss,SymmetricTree,Bernoulli,50,0.25142857142857145,0.7857142857142857,0.14965986394557823,0.9076923076923077,0.14965986394557823
80,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
81,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
82,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
83,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
84,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
85,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
86,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
87,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
88,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
89,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
90,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
91,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
92,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
93,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
94,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
95,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
96,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
97,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
98,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
99,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,Depthwise,Bernoulli,10,0.8069164265129684,0.7,0.9523809523809523,0.07692307692307693,0.9523809523809523
100,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
101,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
102,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,19,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8202247191011236,0.6985645933014354,0.9931972789115646,0.03076923076923077,0.9931972789115646
103,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,103,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
104,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,15,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
105,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
106,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.52,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8045325779036827,0.6893203883495146,0.9659863945578231,0.015384615384615385,0.9659863945578231
107,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.5,43,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8169014084507042,0.6971153846153846,0.9863945578231292,0.03076923076923077,0.9863945578231292
108,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,87,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
109,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,99,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
110,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.59,63,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.07792207792207792,0.8571428571428571,0.04081632653061224,0.9846153846153847,0.04081632653061224
111,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
112,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
113,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.57,123,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.7391304347826086,0.68,0.8095238095238095,0.13846153846153847,0.8095238095238095
114,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.45,23,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
115,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.53,-1,1000,6,0.06,2.0,CrossEntropy,SymmetricTree,Bayesian,10,0.8135593220338984,0.6956521739130435,0.9795918367346939,0.03076923076923077,0.9795918367346939
116,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.07,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
117,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,31,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8135593220338984,0.6956521739130435,0.9795918367346939,0.03076923076923077,0.9795918367346939
118,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,35,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8101983002832861,0.6941747572815534,0.9727891156462585,0.03076923076923077,0.9727891156462585
119,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.56,11,500,6,0.06,2.0,CrossEntropy,Depthwise,Bernoulli,10,0.14814814814814814,0.8,0.08163265306122448,0.9538461538461539,0.08163265306122448
120,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.54,7,500,9,0.05,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.0,0.0,0.0,1.0,0.0
121,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
122,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
123,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
124,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.44,127,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
125,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,59,500,6,0.08,3.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
126,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.58,11,900,6,0.02,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.0,0.0,0.0,1.0,0.0
127,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,55,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
128,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.47,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
129,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.6,39,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.42786069651741293,0.7962962962962963,0.2925170068027211,0.8307692307692308,0.2925170068027211
130,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,1000,6,0.03,2.0,CrossEntropy,SymmetricTree,Bayesian,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
131,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
132,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
133,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,11,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8212290502793296,0.6966824644549763,1.0,0.015384615384615385,1.0
134,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,99,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
135,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,79,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
136,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,27,500,6,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939
137,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.51,11,500,9,0.06,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
138,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,75,500,6,0.07,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
